============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 4730630.E-03 keV
0000107   1.7263E+06  3.9050E+04  1.0915E+05
0000108   1.7555E+06 -2.2042E+04 -1.5592E+04
0000109   1.7337E+06 -4.7230E+04 -1.7215E+05
0000110   1.7591E+06  5.8016E+04  1.2656E+05
0000111   1.7404E+06  6.1740E+03 -4.5591E+04
0000112   1.7202E+06  4.3405E+04  2.7517E+04
0000113   1.6997E+06 -7.1884E+04 -5.3446E+04
0000114   1.7624E+06  1.2236E+05 -1.0432E+04
0000115   1.6853E+06 -3.0497E+04 -5.2484E+04
0000116   1.7391E+06  1.8933E+04 -2.8978E+04
0000117   1.7100E+06 -5.9398E+04  8.0330E+04
0000118   1.7195E+06 -3.7230E+04 -1.5808E+04
0000119   1.7506E+06  2.7403E+04 -4.4817E+04
0000120   1.7843E+06 -4.9973E+04  3.2325E+04
0000121   1.7454E+06 -5.3714E+04 -3.0702E+03
0000122   1.7501E+06 -1.3537E+05 -2.1475E+05
0000123   1.7604E+06  9.5212E+04  4.2367E+04
0000124   1.7394E+06  4.1071E+04 -3.5370E+04
0000125   1.7383E+06  2.4765E+02 -1.0595E+04
0000126   1.7751E+06  1.2550E+03  9.8400E+03
0000127   1.6892E+06 -2.4245E+04 -6.2748E+04
0000128   1.7166E+06 -5.2301E+04  3.1654E+04
0000129   1.7136E+06  2.1154E+04 -8.5936E+04
0000130   1.6995E+06  3.4077E+04 -8.7584E+03
0000131   1.7450E+06  1.0984E+04  7.1861E+03
0000132   1.7698E+06 -2.6005E+04  5.3964E+03
0000133   1.7307E+06 -6.3544E+04 -7.6875E+04
0000134   1.7743E+06  3.1296E+02  6.3120E+04
0000135   1.7931E+06 -3.3569E+04  2.5477E+04
0000136   1.7535E+06  2.0738E+04  1.6659E+04
0000137   1.7283E+06  1.5539E+04  2.2301E+04
0000138   1.7029E+06 -6.7632E+03  2.4983E+04
0000139   1.7552E+06  3.6400E+04 -1.1482E+04
0000140   1.7472E+06 -2.2446E+04  2.0868E+04
0000141   1.7451E+06  1.4864E+04 -4.7336E+04
0000142   1.7620E+06 -3.9008E+04 -1.8873E+04
0000143   1.7499E+06  4.8082E+04 -2.7730E+04
0000144   1.7551E+06  2.5384E+04  1.1405E+05
0000145   1.7329E+06  5.2414E+04 -5.5914E+04
0000146   1.7541E+06  1.2944E+04  4.4273E+03
0000147   1.7518E+06 -4.7396E+04  4.2226E+04
0000148   1.7346E+06 -2.2851E+04  2.0936E+04
0000149   1.7203E+06 -1.3023E+04  1.0071E+05
0000150   1.7650E+06  4.6104E+04  1.7229E+04
0000151   1.7635E+06  6.9624E+04  6.8396E+04
0000152   1.7343E+06 -9.3009E+04 -3.8959E+04
0000153   1.7447E+06 -6.3593E+04  2.9388E+04
0000154   1.7339E+06 -8.8790E+04  1.3840E+04
0000155   1.6751E+06 -4.0838E+04 -3.2835E+04
0000156   1.7655E+06  3.1238E+04 -9.1725E+04
0000157   1.7236E+06 -1.3611E+04  1.3665E+04
0000158   1.7853E+06 -2.3137E+04 -4.3300E+04
0000159   1.7302E+06  7.3746E+04 -5.8703E+04
0000160   1.7807E+06 -1.3890E+04 -4.4684E+04
0000161   1.6902E+06  1.1954E+05  2.4038E+04
0000162   1.7652E+06  1.6243E+05 -4.7611E+04
0000163   1.7690E+06 -9.6262E+03  4.4457E+04
0000164   1.7792E+06  2.5130E+04 -3.2370E+04
0000165   1.7605E+06  7.6714E+04  6.8895E+04
0000166   1.7524E+06 -2.6057E+03 -5.1920E+04
0000167   1.7386E+06 -4.7972E+04 -6.2493E+03
0000168   1.7470E+06 -9.3500E+04 -3.2086E+04
0000169   1.7820E+06  5.5603E+04  8.1692E+04
0000170   1.7476E+06  1.8971E+04  4.1131E+04
0000171   1.7623E+06 -1.9073E+04  7.5708E+03
0000172   1.7559E+06  8.7746E+04  3.3559E+04
0000173   1.7683E+06 -4.0656E+04 -5.1720E+04
0000174   1.7281E+06 -4.1655E+04  1.4748E+05
0000175   1.7351E+06 -8.9207E+04 -1.0590E+05
0000176   1.7478E+06  5.1349E+04  5.5771E+04
0000177   1.7679E+06 -4.9779E+03 -1.4901E+03
0000178   1.7713E+06  1.0567E+05 -2.0559E+04
0000179   1.7510E+06 -2.5676E+04  8.8030E+04
0000180   1.7616E+06 -1.5005E+04 -2.3175E+03
0000181   1.7121E+06  2.9042E+04  5.4477E+04
0000182   1.6865E+06 -5.2327E+04 -3.9905E+04
0000183   1.7662E+06  2.5398E+04 -3.7118E+04
0000184   1.7260E+06 -1.3939E+04 -2.2226E+04
0000185   1.6952E+06  6.5185E+04 -2.8410E+04
0000186   1.7120E+06 -1.2309E+04 -3.6826E+02
0000187   1.7487E+06 -6.5077E+04 -7.4007E+04
0000188   1.7666E+06 -1.1310E+05 -1.1051E+04
0000189   1.7485E+06  2.6279E+04  4.6931E+04
0000190   1.7008E+06 -4.2750E+04  6.2075E+04
0000191   1.7180E+06 -8.1249E+03  2.4625E+04
0000192   1.7068E+06  9.2397E+03 -6.0359E+03
0000193   1.7461E+06 -5.7700E+04  3.3409E+04
0000194   1.7439E+06  4.4985E+04 -4.5470E+04
0000195   1.7557E+06 -1.6758E+04  1.0093E+04
0000196   1.7560E+06 -2.2606E+04 -5.3504E+04
0000197   1.7554E+06 -5.1435E+04  1.5346E+04
0000198   1.6977E+06  1.0120E+04  9.2237E+04
0000199   1.7595E+06 -6.9541E+04 -7.8785E+04
0000200   1.7032E+06  6.3468E+04  5.1438E+04
0000201   1.7522E+06  2.8640E+04  3.1763E+04
0000202   1.7521E+06  3.8865E+04  1.3793E+04
0000203   1.7400E+06  4.9191E+03  7.9585E+04
0000204   1.7588E+06  7.2720E+04 -2.0822E+04
0000205   1.7126E+06 -7.2726E+04  3.3721E+04
0000206   1.6948E+06  3.4299E+04 -8.0588E+02
0000207   1.7466E+06  4.8379E+04  6.9633E+03
0000208   1.7423E+06 -6.7472E+04 -4.6044E+04
0000209   1.7189E+06  9.3456E+04 -7.2588E+04
0000210   1.7486E+06 -7.4625E+03 -7.6433E+04
0000211   1.7023E+06 -9.0229E+04  2.7491E+04
0000212   1.7462E+06 -6.3519E+04 -7.4393E+03
0000213   1.7544E+06 -2.6804E+03 -4.0378E+04
0000214   1.7285E+06  4.6738E+04 -5.1852E+04
0000215   1.7021E+06  4.5253E+04  1.4070E+04
0000216   1.7504E+06  4.2707E+03  4.5471E+04
0000217   1.7635E+06  2.6631E+04  7.7618E+03
0000218   1.7331E+06 -2.0709E+04  6.5821E+04
0000219   1.7489E+06  3.0510E+04 -4.5623E+04
0000220   1.6865E+06  1.0279E+05  1.9685E+05
0000221   1.6999E+06  7.5495E+03  6.3211E+03
0000222   1.7098E+06  5.1842E+04  5.6710E+04
0000223   1.6926E+06  9.9078E+04  1.8778E+04
0000224   1.7259E+06 -2.9612E+04  4.4362E+04
0000225   1.7290E+06 -3.9956E+02 -5.0080E+04
0000226   1.7629E+06 -5.1491E+04  1.0014E+04
0000227   1.7668E+06 -1.0375E+05 -6.7853E+04
0000228   1.7405E+06  1.1443E+05 -8.2705E+04
0000229   1.7349E+06 -5.0475E+04  3.2619E+04
0000230   1.7429E+06  5.4854E+04 -4.8541E+04
0000231   1.6862E+06 -3.5502E+04 -2.7051E+04
0000232   1.6809E+06 -5.0263E+04  9.3039E+04
0000233   1.7678E+06 -1.1737E+05  5.7833E+04
0000234   1.7147E+06 -2.7032E+05 -1.1731E+03
0000235   1.7787E+06  2.7116E+04  7.1638E+04
0000236   1.7218E+06  3.3722E+03  1.3240E+04
0000237   1.6821E+06  3.5282E+04 -2.0150E+04
0000238   1.7607E+06 -2.7328E+04 -2.1498E+04
0000239   1.7220E+06  1.5634E+04  9.4279E+04
0000240   1.7065E+06  8.0941E+04  4.3280E+04
0000241   1.7420E+06  2.4567E+04 -2.0348E+04
0000242   1.7152E+06  9.1668E+04  9.1795E+04
0000243   1.7515E+06  8.8171E+04 -8.7141E+04
0000244   1.7074E+06 -2.8093E+04  4.3309E+04
0000245   1.7371E+06  6.9461E+04  1.9753E+04
0000246   1.7008E+06  1.2023E+04 -7.0353E+04
0000247   1.7380E+06  7.7684E+03  2.5390E+04
0000248   1.7669E+06 -1.5735E+04  9.7702E+04
0000249   1.7622E+06 -9.9958E+04  9.8185E+04
0000250   1.7216E+06 -1.5224E+04  1.2014E+04
0000251   1.7092E+06 -5.3489E+04 -3.4204E+04
0000252   1.7421E+06  7.2482E+04  2.7954E+04
0000253   1.7265E+06 -2.8715E+04 -8.4394E+04
0000254   1.7289E+06 -4.3365E+04  2.4275E+04
0000255   1.7390E+06  1.8989E+05 -9.6144E+04
0000256   1.7527E+06  5.3188E+04 -6.1648E+04
0000257   1.7268E+06 -2.7941E+04  5.4589E+04
0000258   1.7022E+06 -1.1162E+04 -3.2866E+04
0000259   1.7191E+06 -4.4628E+04 -7.2322E+03
0000260   1.8009E+06  9.3986E+03 -6.9753E+03
0000261   1.7024E+06 -8.2202E+04 -3.3752E+04
0000262   1.7117E+06  3.2352E+04 -8.6579E+03
0000263   1.7346E+06 -5.4746E+04  5.2665E+04
0000264   1.7365E+06 -1.4852E+04  1.6180E+05
0000265   1.7235E+06 -1.9691E+04 -5.2033E+04
0000266   1.7950E+06  1.7765E+04  2.3342E+04
0000267   1.7415E+06  2.1092E+04  2.3891E+04
0000268   1.7515E+06  4.9396E+04  7.6734E+04
0000269   1.7281E+06  7.5663E+04 -1.0239E+05
0000270   1.7281E+06 -4.2701E+04 -7.5300E+04
0000271   1.7444E+06  3.7515E+03  1.3010E+04
0000272   1.7890E+06 -3.0304E+04  1.2237E+04
0000273   1.7023E+06  9.8707E+04  5.9263E+04
0000274   1.7564E+06  1.0285E+05 -1.1237E+04
0000275   1.7631E+06  8.1483E+04 -1.2324E+05
0000276   1.7115E+06  2.9213E+04  1.3498E+05
0000277   1.6139E+06  1.9295E+05  3.4697E+05
0000278   1.7446E+06 -4.3575E+04  1.2025E+04
0000279   1.7236E+06 -1.9529E+05 -1.0080E+05
0000280   1.7073E+06 -2.1592E+03  2.1577E+04
0000281   1.7493E+06  2.0557E+04  6.0239E+04
0000282   1.7648E+06 -3.4237E+04  1.3656E+04
0000283   1.7745E+06 -5.1009E+04 -3.1369E+03
0000284   1.7549E+06 -3.8254E+04  5.5507E+04
0000285   1.7217E+06 -1.2468E+05  1.0021E+05
0000286   1.6458E+06 -1.4002E+05 -8.6617E+04
0000287   1.7980E+06 -5.4763E+04 -1.2853E+05
0000288   1.7112E+06  5.7144E+04  8.7492E+04
0000289   1.7291E+06  1.5339E+03  4.8654E+04
0000290   1.7387E+06 -6.2539E+04 -5.8703E+04
0000291   1.7667E+06  2.5806E+04  2.9382E+04
0000292   1.7245E+06 -3.9106E+04 -1.6523E+04
0000293   1.7117E+06  4.6382E+04 -4.5234E+04
0000294   1.7677E+06  1.4603E+04  6.8343E+04
0000295   1.7306E+06  5.9558E+04  1.4482E+05
0000296   1.6782E+06  1.3128E+04 -1.2826E+05
0000297   1.7464E+06  2.4795E+04  1.0736E+04
0000298   1.7252E+06  4.3567E+03  4.0292E+04
0000299   1.6955E+06 -2.7270E+04  1.5649E+04
0000300   1.7738E+06  5.5939E+04  1.3101E+04
0000301   1.6577E+06 -8.3242E+04  1.8268E+05
0000302   1.7636E+06  2.5480E+04 -6.8476E+04
0000303   1.7510E+06  1.4469E+04 -1.2215E+05
0000304   1.7459E+06  7.9659E+04 -1.1759E+05
0000305   1.7541E+06 -8.6297E+04  1.1550E+05
0000306   1.7568E+06  5.8637E+03  3.5983E+04
0000307   1.7096E+06 -4.0993E+04 -2.9988E+04
0000308   1.7998E+06 -1.1726E+05 -2.6809E+04
0000309   1.7163E+06  1.1224E+04 -5.5868E+04
0000310   1.7343E+06 -3.2293E+04  7.0596E+04
0000311   1.7244E+06 -3.3147E+04  2.6211E+04
0000312   1.7508E+06 -1.4233E+05 -4.1536E+04
0000313   1.7105E+06 -6.1329E+04  1.5058E+05
0000314   1.7529E+06  5.1185E+03 -4.8567E+03
0000315   1.7384E+06 -8.0055E+04  1.7015E+04
0000316   1.7680E+06  1.2745E+04 -2.5587E+03
0000317   1.7320E+06 -9.4515E+04  1.7668E+04
0000318   1.7121E+06  7.9383E+04  5.9215E+04
0000319   1.7344E+06 -9.7156E+03 -9.0312E+04
0000320   1.7174E+06 -6.4463E+04 -5.0530E+04
0000321   1.7101E+06 -6.6089E+04 -2.4157E+03
0000322   1.7436E+06  2.0307E+04  7.1343E+03
0000323   1.7730E+06  3.1980E+04 -1.3372E+04
0000324   1.7581E+06  1.4993E+05  1.1556E+02
0000325   1.7318E+06 -2.3954E+04 -3.9007E+04
0000326   1.7362E+06 -7.2764E+04 -5.8658E+03
0000327   1.7612E+06  3.5059E+04 -3.9824E+04
0000328   1.7361E+06  8.5026E+03 -2.4565E+04
0000329   1.6962E+06 -3.0158E+04  4.7914E+03
0000330   1.7705E+06  3.6362E+03  1.7812E+03
0000331   1.7090E+06  5.5091E+04  2.6173E+04
0000332   1.7460E+06 -2.7272E+03  4.2078E+04
0000333   1.7152E+06 -2.8315E+04  4.1314E+04
0000334   1.7776E+06  1.2463E+05  5.3056E+04
0000335   1.6525E+06  4.6382E+04 -3.7390E+04
0000336   1.7872E+06 -1.5340E+03 -4.4886E+04
0000337   1.7471E+06  3.1663E+04  2.7777E+04
0000338   1.7125E+06 -1.8106E+05 -1.0988E+05
0000339   1.7281E+06 -1.2548E+04  4.7739E+04
0000340   1.7397E+06 -3.5405E+04  5.4431E+04
0000341   1.7175E+06  4.8193E+04 -1.6688E+04
0000342   1.7342E+06 -9.9860E+03 -9.5541E+02
0000343   1.7088E+06  1.2433E+05  2.6810E+04
0000344   1.7333E+06 -4.8781E+04 -6.0130E+03
0000345   1.7521E+06 -8.7667E+04 -4.7685E+03
0000346   1.7436E+06 -2.4459E+03 -4.6458E+04
0000347   1.7109E+06  2.9669E+04  3.7535E+04
0000348   1.7446E+06 -6.9311E+04 -2.4124E+04
0000349   1.7323E+06  1.2794E+04  3.2720E+04
0000350   1.7260E+06 -1.1384E+04 -7.0243E+04
0000351   1.7559E+06  2.3871E+04  1.6250E+04
0000352   1.7187E+06  4.3781E+04  1.9072E+04
0000353   1.7095E+06 -2.8382E+04  1.3539E+04
0000354   1.7419E+06 -5.5030E+04 -6.9130E+04
0000355   1.7520E+06 -5.2426E+04  4.3383E+04
0000356   1.7723E+06  2.4986E+04  2.8824E+04
0000357   1.6731E+06 -1.2469E+03  2.3557E+04
0000358   1.7185E+06 -3.7101E+04 -1.6478E+04
0000359   1.7188E+06 -5.0687E+04 -5.3066E+04
0000360   1.7457E+06  9.0580E+04 -3.7228E+04
0000361   1.7297E+06 -5.0856E+04  2.9740E+04
0000362   1.6977E+06 -3.3030E+04 -1.1518E+03
0000363   1.7449E+06  5.7993E+04 -1.2472E+05
0000364   1.7442E+06 -2.8150E+04  4.7343E+04
0000365   1.7705E+06 -5.8752E+04 -5.7119E+04
0000366   1.7532E+06 -1.0300E+04 -1.0011E+05
0000367   1.7493E+06  1.0794E+05 -7.9696E+04
0000368   1.7234E+06  4.4252E+03  7.8097E+03
0000369   1.7269E+06  7.9677E+04  3.6760E+04
0000370   1.7239E+06 -5.5009E+04 -3.7020E+04
0000371   1.7174E+06  1.8758E+04 -5.6908E+04
0000372   1.7211E+06 -4.6984E+04  6.5742E+04
0000373   1.7237E+06  2.5332E+04 -1.2588E+05
0000374   1.7280E+06 -3.3597E+03 -4.2109E+04
0000375   1.7282E+06  2.4104E+04 -2.5186E+04
0000376   1.7117E+06  5.3870E+04  8.0519E+03
0000377   1.7052E+06 -2.0077E+03 -3.1789E+04
0000378   1.7557E+06  9.8696E+04  2.7712E+04
0000379   1.7489E+06 -9.2530E+02  3.8878E+04
0000380   1.7406E+06  2.0031E+04 -4.7933E+04
0000381   1.7847E+06  1.2075E+03  2.0017E+04
0000382   1.7051E+06 -6.4209E+04 -4.3841E+01
0000383   1.7332E+06  7.0221E+03  1.6131E+04
0000384   1.7360E+06 -1.2404E+05  9.7011E+04
0000385   1.7333E+06  1.6135E+05 -5.2098E+04
0000386   1.7596E+06  4.2144E+04 -3.3584E+04
0000387   1.6975E+06 -3.2776E+04  3.7528E+04
0000388   1.7943E+06  7.1698E+04 -7.6027E+04
0000389   1.7690E+06 -4.1206E+04 -3.6718E+04
0000390   1.7429E+06  2.6335E+04 -3.8423E+04
0000391   1.7184E+06  8.7221E+03 -2.0970E+04
0000392   1.7528E+06 -1.1327E+05  1.2013E+05
0000393   1.7506E+06  5.4924E+04  8.6694E+04
0000394   1.7512E+06  6.3277E+04  5.6511E+03
0000395   1.7111E+06 -2.8443E+04 -4.1601E+04
0000396   1.7724E+06  1.0473E+05  2.1447E+04
0000397   1.7090E+06 -8.7375E+04  1.3450E+05
0000398   1.7322E+06 -1.3364E+05 -6.9062E+04
0000399   1.7723E+06 -2.3797E+04  2.9337E+04
0000400   1.7433E+06 -2.8310E+04  1.2131E+03
0000401   1.7348E+06  9.8128E+04  8.1148E+04
0000402   1.7813E+06  1.4153E+03  8.1332E+04
0000403   1.7389E+06  4.6738E+04  4.5137E+03
0000404   1.7115E+06 -2.4278E+04 -1.0858E+04
0000405   1.7801E+06 -2.0005E+04 -1.2896E+04
0000406   1.7327E+06  7.2782E+04  4.0807E+04
0000407   1.7176E+06  3.2984E+04  6.9246E+04
0000408   1.7817E+06 -1.1248E+05 -3.1724E+03
0000409   1.8049E+06 -3.2492E+04 -3.8654E+04
0000410   1.7614E+06 -1.6663E+04  3.7418E+04
0000411   1.7041E+06 -6.7815E+04 -4.7059E+04
0000412   1.7337E+06  1.9504E+04  4.7435E+04
0000413   1.7352E+06 -9.4502E+04 -1.1856E+05
0000414   1.7020E+06 -1.3274E+05 -7.6001E+04
0000415   1.6907E+06  5.6148E+04 -2.2452E+04
0000416   1.7482E+06 -7.8299E+04 -5.8022E+03
0000417   1.7812E+06  1.1802E+04 -4.9237E+04
0000418   1.7471E+06 -2.4898E+04 -1.3230E+05
0000419   1.7536E+06  2.8415E+04 -4.1573E+03
0000420   1.7242E+06 -8.5809E+04  5.7890E+04
0000421   1.7245E+06 -1.0058E+05 -4.0538E+04
0000422   1.7789E+06  2.9166E+04  2.0197E+04
0000423   1.7045E+06  3.5155E+04  5.6431E+04
0000424   1.7233E+06  5.3742E+04 -1.6238E+03
0000425   1.7197E+06  5.2135E+04 -1.5864E+04
0000426   1.7203E+06  2.2381E+04  9.8333E+04
0000427   1.7519E+06 -1.4644E+04  4.5036E+04
0000428   1.6948E+06 -4.9763E+04 -6.0707E+04
0000429   1.7269E+06 -2.2500E+04 -3.3244E+04
0000430   1.7204E+06 -1.9294E+04  5.0799E+04
0000431   1.7362E+06  2.3977E+04 -5.1098E+04
0000432   1.6988E+06 -2.7684E+04  6.2141E+04
0000433   1.7581E+06 -4.1316E+04 -6.6509E+04
0000434   1.8012E+06  4.6623E+04  5.9675E+03
0000435   1.7659E+06  9.3833E+03  7.0523E+04
0000436   1.7686E+06  4.5528E+04  2.1484E+04
0000437   1.6764E+06 -1.2215E+04 -4.9555E+04
0000438   1.7074E+06  6.7521E+04  1.9032E+04
0000439   1.7492E+06 -1.1525E+04 -5.2671E+04
0000440   1.7190E+06 -1.1268E+04 -1.8095E+03
0000441   1.6857E+06  2.4616E+04 -1.4568E+04
0000442   1.7435E+06 -1.6944E+04 -4.1066E+04
0000443   1.7126E+06 -7.4262E+03 -9.4762E+04
0000444   1.7614E+06 -6.2284E+04  2.1928E+03
0000445   1.6972E+06  4.9477E+04 -6.0484E+04
0000446   1.7722E+06  7.9571E+04  6.5096E+04
0000447   1.7563E+06  1.8044E+03 -6.8727E+04
0000448   1.7397E+06 -5.0518E+04 -1.6901E+03
0000449   1.7454E+06 -1.9764E+04  3.2841E+04
0000450   1.7536E+06 -5.5545E+04  2.7265E+04
0000451   1.7375E+06  2.9574E+04 -1.1900E+04
0000452   1.7009E+06 -6.9608E+04  5.6501E+03
0000453   1.7432E+06  7.3591E+04 -3.5746E+04
0000454   1.7860E+06 -1.0210E+04  4.9866E+04
0000455   1.7551E+06  2.1862E+04 -3.0733E+03
0000456   1.6958E+06 -2.1290E+04  1.2582E+05
0000457   1.7449E+06  6.9559E+04  1.3688E+04
0000458   1.7595E+06  3.4056E+04 -1.0112E+05
0000459   1.7105E+06 -8.8300E+03  9.5268E+04
0000460   1.7361E+06 -8.8429E+04 -4.2701E+03
0000461   1.7345E+06  1.3749E+04  1.1872E+05
0000462   1.7351E+06 -5.6360E+04  4.3280E+04
0000463   1.6949E+06 -5.0092E+04  3.4084E+05
0000464   1.7365E+06  8.8481E+04 -2.5270E+03
0000465   1.6838E+06  3.2932E+04 -7.7742E+03
0000466   1.7760E+06 -8.5965E+04  2.9913E+04
0000467   1.7430E+06 -2.8643E+04 -5.4852E+04
0000468   1.7539E+06 -9.5836E+04  1.1207E+04
